Tokyo National Research Institute of Cultural Properties,1
Walkden's,1
Various,1
Artex Manufacturing Co.,1
H. Schminke & Co.,1
Aldrich Chemical Company,1
ISP Technologies,1
Angus Chemical Company (Dow),1
Ashland Specialty Chemical Co.,1
Hercules Inc. (Aqualon div.),1
Santa Ynez Lavender,1
Dick Blick Art Materials,1
"Hain Pure Food Company, Inc.",1
"BioSan, New Dimensions Dist.",1
Tolvebra SA,1
Wessen Co.,1
Imp. by Pacific Veg Oil Corp ,1
Roberson & Co. Ltd.,1
Omega Color,1
Pelikan,1
"Rich Art Color, Inc.",1
Caelo (Caesar & Loretz),1
"Matheson, Coleman & Bell",1
"Fuji Photo Film Co,",1
Agfa-Gevaert,1
Eastman Kodak Co. ,1
Eastman Kodk Co.,1
Eastman odak Co.,1
MACO Photo Products,1
Kodak Industrie,1
Kodak Co.,1
Cyber Graphics Corp. (Oriental),1
Luminos Photo Corp.,1
"Fuji Photo Film, Inc.",1
Ferrania Imaging Technologies,1
Porter Chemical Co.,1
Polaroid ,1
MaDaNa Manufacturing,1
"Konica Minolta Photo Imaging, Inc.",1
Paterson Group International,1
Oriental Photo Ind. Co.,1
Paterson Photographic Ltd.,1
Daler-Rowney,1
Eytzinger,1
Kremer-Pigments,1
Fred Aldous Ltd,1
Seattle Film Works,1
Arches ,1
K-Line,1
Niagara,1
Cachet Fine Art Photographic Paper Co.,1
Harman Technology Limited,1
Zone VI,1
Agfa Ansco Co.,1
Kremer Pigmente ,1
Hartman Leather Ltd,1
Belkis Minerals,1
Agfa Ansco,1
Agfa ,1
"Kodak Canada Inc,",1
Sterling,1
Cachet,1
Unicolor,1
Mitsubishi Imaging Inc.,1
R. Guilleminot,1
Dassonville Co.,1
Vendex,1
Vendorama,1
Mimosa Kiel,1
Rotary Photographic Co.,1
Wellington & Ward,1
Ansco ,1
Darko,1
Argentus,1
Efke,1
ICI,1
BRICO,1
Ellis & Everard,1
Anstead,1
AP Fitzpatrick,1
Cappelle,1
KKK,1
